Subject,Predicate,Object,,,
Zona bananera en Maconodo,crm:P102_has_title,Zona bananera en Macondo,
Zona bananera en Maconodo,schema:countryOfOrigin,Colombia,
Zona bananera en Maconodo,dcTerms:creator,Leo Matiz,
Zona bananera en Maconodo,dcTerms:created,1939,
Zona bananera en Maconodo,dcTerms:issued,2017,
Zona bananera en Maconodo,crm:P43_has_dimension,40 x 31 cm,
Zona bananera en Maconodo,crm:E57_consist_of,giclee print,
Zona bananera en Maconodo,crm:P52_has_current_owner,Library of Congress,
Zona bananera en Maconodo,crm:P2_has_type,Photo,
