subject,predicate,object
Article,crm:P102_has_title,Magic in Service of truth
Article,dcTerms:creator,Salman Rushdie
Article,dcTerms:issued,21-5-2014
Article,dcTerms:place,New York
Article,cdTerms:pulisher,The New York Times
