Subject,Predicate,Object
Cien años de soledad,crm:P102_has_title,Cien anos de soledad
Cien años de soledad,dcterms:type,Text
Cien años de soledad,crm:P72_has_language,Spanish
Cien años de soledad,dcterms:created,1966
Cien años de soledad,dcterms:format,Manuscript
Cien años de soledad,dcterms:extent,493 pages
Cien años de soledad,crm:E57_consist_of,Carbon typescript with light corrections by the author 
Cien años de soledad,dcterms:subject,Latin American Literature
Cien años de soledad,crm:P52_has_current_owner,"HRC, University of Texas"
