Subject,Predicate,Object
Coronel Aureliano Buendía,crm:P102_has_title,Daguerrotipo Coronel Aureliano Buendía
Coronel Aureliano Buendía,crm:P32_used_general_technique,Daguerrotype
Coronel Aureliano Buendía,crm:P43_has_dimension,66 x 39.7
Coronel Aureliano Buendía,crm:E57_consist_of,Ink on paper
Coronel Aureliano Buendía,crm:P14_carried_out_by,Melecio Galván
Coronel Aureliano Buendía,dcTerms:created,1969
